Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"EEF1D","Eukaryotic Translation Elongation Factor 1 Delta","Protein Coding","P29692","52","GC08M143579","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1D"
"EHBP1","EH Domain Binding Protein 1","Protein Coding","Q8NDI1","52","GC02P062673","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHBP1"
"EML4","EMAP Like 4","Protein Coding","Q9HC35","52","GC02P042169","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EML4"
"ESPL1","Extra Spindle Pole Bodies Like 1, Separase","Protein Coding","Q14674","52","GC12P053268","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESPL1"
"FGF6","Fibroblast Growth Factor 6","Protein Coding","P10767","52","GC12M032537","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF6"
"FLAD1","Flavin Adenine Dinucleotide Synthetase 1","Protein Coding","Q8NFF5","52","GC01P154983","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLAD1"
"FMN2","Formin 2","Protein Coding","Q9NZ56","52","GC01P240014","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMN2"
"FUT3","Fucosyltransferase 3 (Lewis Blood Group)","Protein Coding","P21217","52","GC19M100074","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT3"
"GAN","Gigaxonin","Protein Coding","Q9H2C0","52","GC16P106376","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAN"
"GBA2","Glucosylceramidase Beta 2","Protein Coding","Q9HCG7","52","GC09M035736","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA2"
"GLYCTK","Glycerate Kinase","Protein Coding","Q8IVS8","52","GC03P061630","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLYCTK"
"GOPC","Golgi Associated PDZ And Coiled-Coil Motif Containing","Protein Coding","Q9HD26","52","GC06M117560","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOPC"
"GSTM2","Glutathione S-Transferase Mu 2","Protein Coding","P28161","52","GC01P109668","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM2"
"HECW2","HECT, C2 And WW Domain Containing E3 Ubiquitin Protein Ligase 2","Protein Coding","Q9P2P5","52","GC02M196194","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HECW2"
"HLA-DRB5","Major Histocompatibility Complex, Class II, DR Beta 5","Protein Coding","Q30154","52","GC06M100348","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB5"
"HNRNPM","Heterogeneous Nuclear Ribonucleoprotein M","Protein Coding","P52272","52","GC19P008444","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPM"
"HSD17B6","Hydroxysteroid 17-Beta Dehydrogenase 6","Protein Coding","O14756","52","GC12P056752","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B6"
"IL18BP","Interleukin 18 Binding Protein","Protein Coding","O95998","52","GC11P071998","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18BP"
"ITGA11","Integrin Subunit Alpha 11","Protein Coding","Q9UKX5","52","GC15M068296","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA11"
"JPH1","Junctophilin 1","Protein Coding","Q9HDC5","52","GC08M074234","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JPH1"
"KANSL1","KAT8 Regulatory NSL Complex Subunit 1","Protein Coding","Q7Z3B3","52","GC17M089551","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KANSL1"
"KEL","Kell Metallo-Endopeptidase (Kell Blood Group)","Protein Coding","P23276","52","GC07M143136","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEL"
"LEMD3","LEM Domain Containing 3","Protein Coding","Q9Y2U8","52","GC12P065169","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEMD3"
"LIMS2","LIM Zinc Finger Domain Containing 2","Protein Coding","Q7Z4I7","52","GC02M127638","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMS2"
"LRIG1","Leucine Rich Repeats And Immunoglobulin Like Domains 1","Protein Coding","Q96JA1","52","GC03M066379","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRIG1"
"LRP12","LDL Receptor Related Protein 12","Protein Coding","Q9Y561","52","GC08M104489","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP12"
"LRP1B","LDL Receptor Related Protein 1B","Protein Coding","Q9NZR2","52","GC02M140231","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1B"
"LSP1","Lymphocyte Specific Protein 1","Protein Coding","P33241","52","GC11P014090","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSP1"
"MARCKS","Myristoylated Alanine Rich Protein Kinase C Substrate","Protein Coding","P29966","52","GC06P113857","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCKS"
"MCM3AP","Minichromosome Maintenance Complex Component 3 Associated Protein","Protein Coding","O60318","52","GC21M046235","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3AP"
"MICB","MHC Class I Polypeptide-Related Sequence B","Protein Coding","Q29980","52","GC06P156239","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICB"
"MLNR","Motilin Receptor","Protein Coding","O43193","52","GC13P049220","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLNR"
"MORC2","MORC Family CW-Type Zinc Finger 2","Protein Coding","Q9Y6X9","52","GC22M030925","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MORC2"
"MRTFA","Myocardin Related Transcription Factor A","Protein Coding","Q969V6","52","GC22M082416","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRTFA"
"MSI1","Musashi RNA Binding Protein 1","Protein Coding","O43347","52","GC12M120341","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSI1"
"MSRB3","Methionine Sulfoxide Reductase B3","Protein Coding","Q8IXL7","52","GC12P067805","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSRB3"
"MTHFD1L","Methylenetetrahydrofolate Dehydrogenase (NADP+ Dependent) 1 Like","Protein Coding","Q6UB35","52","GC06P150865","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFD1L"
"MTMR3","Myotubularin Related Protein 3","Protein Coding","Q13615","52","GC22P081223","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR3"
"MTNR1A","Melatonin Receptor 1A","Protein Coding","P48039","52","GC04M186533","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTNR1A"
"MUS81","MUS81 Structure-Specific Endonuclease Subunit","Protein Coding","Q96NY9","52","GC11P099000","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUS81"
"MYO3A","Myosin IIIA","Protein Coding","Q8NEV4","52","GC10P025934","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO3A"
"NAPEPLD","N-Acyl Phosphatidylethanolamine Phospholipase D","Protein Coding","Q6IQ20","52","GC07M103099","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPEPLD"
"NBEAL2","Neurobeachin Like 2","Protein Coding","Q6ZNJ1","52","GC03P046979","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBEAL2"
"NCOA6","Nuclear Receptor Coactivator 6","Protein Coding","Q14686","52","GC20M035989","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA6"
"NFKBIB","NFKB Inhibitor Beta","Protein Coding","Q15653","52","GC19P038899","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIB"
"NUP160","Nucleoporin 160","Protein Coding","Q12769","52","GC11M132481","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP160"
"NUP85","Nucleoporin 85","Protein Coding","Q9BW27","52","GC17P075205","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP85"
"NUP88","Nucleoporin 88","Protein Coding","Q99567","52","GC17M088215","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP88"
"NXN","Nucleoredoxin","Protein Coding","Q6DKJ4","52","GC17M000799","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXN"
"OMG","Oligodendrocyte Myelin Glycoprotein","Protein Coding","P23515","52","GC17M088915","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OMG"
"OPCML","Opioid Binding Protein/Cell Adhesion Molecule Like","Protein Coding","Q14982","52","GC11M132414","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPCML"
"OPN1SW","Opsin 1, Short Wave Sensitive","Protein Coding","P03999","52","GC07M128772","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPN1SW"
"OS9","OS9 Endoplasmic Reticulum Lectin","Protein Coding","Q13438","52","GC12P057693","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OS9"
"P2RY14","Purinergic Receptor P2Y14","Protein Coding","Q15391","52","GC03M151212","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY14"
"PCSK6","Proprotein Convertase Subtilisin/Kexin Type 6","Protein Coding","P29122","52","GC15M156156","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK6"
"PDZK1","PDZ Domain Containing 1","Protein Coding","Q5T2W1","52","GC01M145670","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDZK1"
"PHF1","PHD Finger Protein 1","Protein Coding","O43189","52","GC06P156370","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF1"
"PHLPP1","PH Domain And Leucine Rich Repeat Protein Phosphatase 1","Protein Coding","O60346","52","GC18P062715","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP1"
"PLCD3","Phospholipase C Delta 3","Protein Coding","Q8N3E9","52","GC17M045108","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCD3"
"POLD2","DNA Polymerase Delta 2, Accessory Subunit","Protein Coding","P49005","52","GC07M044114","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD2"
"POLM","DNA Polymerase Mu","Protein Coding","Q9NP87","52","GC07M045506","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLM"
"PPCDC","Phosphopantothenoylcysteine Decarboxylase","Protein Coding","Q96CD2","52","GC15P075023","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPCDC"
"PRMT6","Protein Arginine Methyltransferase 6","Protein Coding","Q96LA8","52","GC01P107056","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT6"
"PTPN23","Protein Tyrosine Phosphatase Non-Receptor Type 23","Protein Coding","Q9H3S7","52","GC03P061415","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN23"
"RBFOX1","RNA Binding Fox-1 Homolog 1","Protein Coding","Q9NWB1","52","GC16P104149","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX1"
"RBFOX2","RNA Binding Fox-1 Homolog 2","Protein Coding","O43251","52","GC22M035738","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX2"
"RGS19","Regulator Of G Protein Signaling 19","Protein Coding","P49795","52","GC20M064073","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS19"
"RIMS2","Regulating Synaptic Membrane Exocytosis 2","Protein Coding","Q9UQ26","52","GC08P103500","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIMS2"
"RNF125","Ring Finger Protein 125","Protein Coding","Q96EQ8","52","GC18P032523","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF125"
"RNF135","Ring Finger Protein 135","Protein Coding","Q8IUD6","52","GC17P030958","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF135"
"RPH3A","Rabphilin 3A","Protein Coding","Q9Y2J0","52","GC12P112570","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPH3A"
"RPL7A","Ribosomal Protein L7a","Protein Coding","P62424","52","GC09P133348","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7A"
"RPLP1","Ribosomal Protein Lateral Stalk Subunit P1","Protein Coding","P05386","52","GC15P175690","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP1"
"RPS11","Ribosomal Protein S11","Protein Coding","P62280","52","GC19P049496","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS11"
"RPS13","Ribosomal Protein S13","Protein Coding","P62277","52","GC11M018011","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS13"
"RREB1","Ras Responsive Element Binding Protein 1","Protein Coding","Q92766","52","GC06P007107","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RREB1"
"SCYL1","SCY1 Like Pseudokinase 1","Protein Coding","Q96KG9","52","GC11P065525","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCYL1"
"SF3B2","Splicing Factor 3b Subunit 2","Protein Coding","Q13435","52","GC11P066050","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B2"
"SFRP2","Secreted Frizzled Related Protein 2","Protein Coding","Q96HF1","52","GC04M153780","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP2"
"SLCO1C1","Solute Carrier Organic Anion Transporter Family Member 1C1","Protein Coding","Q9NYB5","52","GC12P020695","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1C1"
"SMARCAD1","SWI/SNF-Related, Matrix-Associated Actin-Dependent Regulator Of Chromatin, Subfamily A, Containing DEAD/H Box 1","Protein Coding","Q9H4L7","52","GC04P094207","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCAD1"
"SMC5","Structural Maintenance Of Chromosomes 5","Protein Coding","Q8IY18","52","GC09P070258","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC5"
"SMUG1","Single-Strand-Selective Monofunctional Uracil-DNA Glycosylase 1","Protein Coding","Q53HV7","52","GC12M054121","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMUG1"
"SND1","Staphylococcal Nuclease And Tudor Domain Containing 1","Protein Coding","Q7KZF4","52","GC07P127652","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SND1"
"SNRPE","Small Nuclear Ribonucleoprotein Polypeptide E","Protein Coding","P62304","52","GC01P203995","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPE"
"SPPL2A","Signal Peptide Peptidase Like 2A","Protein Coding","Q8TCT8","52","GC15M050702","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPPL2A"
"SRSF6","Serine And Arginine Rich Splicing Factor 6","Protein Coding","Q13247","52","GC20P043457","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF6"
"ST8SIA1","ST8 Alpha-N-Acetyl-Neuraminide Alpha-2,8-Sialyltransferase 1","Protein Coding","Q92185","52","GC12M022063","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST8SIA1"
"SULT1A2","Sulfotransferase Family 1A Member 2","Protein Coding","P50226","52","GC16M028591","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A2"
"SYN2","Synapsin II","Protein Coding","Q92777","52","GC03P024244","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYN2"
"SYVN1","Synoviolin 1","Protein Coding","Q86TM6","52","GC11M132790","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYVN1"
"TACO1","Translational Activator Of Cytochrome C Oxidase I","Protein Coding","Q9BSH4","52","GC17P063600","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACO1"
"TBCE","Tubulin Folding Cofactor E","Protein Coding","Q15813","52","GC01P235367","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCE"
"TBX4","T-Box Transcription Factor 4","Protein Coding","P57082","52","GC17P134276","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX4"
"TFF2","Trefoil Factor 2","Protein Coding","Q03403","52","GC21M042346","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF2"
"THBS3","Thrombospondin 3","Protein Coding","P49746","52","GC01M155195","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS3"
"TIMELESS","Timeless Circadian Regulator","Protein Coding","Q9UNS1","52","GC12M056416","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMELESS"
"TLK1","Tousled Like Kinase 1","Protein Coding","Q9UKI8","52","GC02M170990","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLK1"
"TMEFF2","Transmembrane Protein With EGF Like And Two Follistatin Like Domains 2","Protein Coding","Q9UIK5","52","GC02M191950","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEFF2"
"TMEM106B","Transmembrane Protein 106B","Protein Coding","Q9NUM4","52","GC07P015609","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM106B"
"TNFAIP6","TNF Alpha Induced Protein 6","Protein Coding","P98066","52","GC02P151357","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP6"
"TNRC6A","Trinucleotide Repeat Containing Adaptor 6A","Protein Coding","Q8NDV7","52","GC16P104659","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6A"
"TNS1","Tensin 1","Protein Coding","Q9HBL0","52","GC02M217799","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNS1"
"TOMM40","Translocase Of Outer Mitochondrial Membrane 40","Protein Coding","O96008","52","GC19P044890","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40"
"TRIOBP","TRIO And F-Actin Binding Protein","Protein Coding","Q9H2D6","52","GC22P037697","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIOBP"
"UBA7","Ubiquitin Like Modifier Activating Enzyme 7","Protein Coding","P41226","52","GC03M049805","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA7"
"UBE2E1","Ubiquitin Conjugating Enzyme E2 E1","Protein Coding","P51965","52","GC03P023805","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2E1"
"UBE2G1","Ubiquitin Conjugating Enzyme E2 G1","Protein Coding","P62253","52","GC17M088132","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2G1"
"UBE2G2","Ubiquitin Conjugating Enzyme E2 G2","Protein Coding","P60604","52","GC21M044768","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2G2"
"UBIAD1","UbiA Prenyltransferase Domain Containing 1","Protein Coding","Q9Y5Z9","52","GC01P011273","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBIAD1"
"UGT1A7","UDP Glucuronosyltransferase Family 1 Member A7","Protein Coding","Q9HAW7","52","GC02P233681","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A7"
"UNC5C","Unc-5 Netrin Receptor C","Protein Coding","O95185","52","GC04M095162","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC5C"
"USP48","Ubiquitin Specific Peptidase 48","Protein Coding","Q86UV5","52","GC01M021678","1.42529010772705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP48"
